organismal_trait	pSTR	lrt_pvalue	adjusted_p	BF_significant
abamectin_norm.n	STR_1000	0.0756291563749601	1	FALSE
abamectin_norm.n	STR_10036	0.284914777558011	1	FALSE
abamectin_norm.n	STR_10037	0.270933625342276	1	FALSE
abamectin_norm.n	STR_10041	0.91773772162475	1	FALSE
abamectin_norm.n	STR_10050	0.42326968325175	1	FALSE
abamectin_norm.n	STR_10056	0.0231223039702781	1	FALSE
abamectin_norm.n	STR_10061	0.75879168358413	1	FALSE
abamectin_norm.n	STR_10089	0.417659526078137	1	FALSE
abamectin_norm.n	STR_10108	0.0192820409407914	1	FALSE
abamectin_norm.n	STR_10116	0.019870060126839	1	FALSE
abamectin_norm.n	STR_10127	0.0663847604754718	1	FALSE
abamectin_norm.n	STR_1015	0.00191549188791418	1	FALSE
abamectin_norm.n	STR_10153	0.00848573649797009	1	FALSE
abamectin_norm.n	STR_10154	0.0438768312288132	1	FALSE
abamectin_norm.n	STR_10161	0.000407525727326356	1	FALSE
abamectin_norm.n	STR_10170	0.291459060061445	1	FALSE
abamectin_norm.n	STR_10175	0.389469050988817	1	FALSE
abamectin_norm.n	STR_10181	0.686380471574427	1	FALSE
abamectin_norm.n	STR_10183	0.0551223602550104	1	FALSE
abamectin_norm.n	STR_1019	0.00463599446407458	1	FALSE
abamectin_norm.n	STR_10204	0.00112638639380435	1	FALSE
abamectin_norm.n	STR_10223	2.31304879240741e-06	0.00577105673705649	TRUE
abamectin_norm.n	STR_10238	0.00550165156857112	1	FALSE
abamectin_norm.n	STR_10244	0.0252583645058322	1	FALSE
abamectin_norm.n	STR_10245	0.0005159249635187	1	FALSE
abamectin_norm.n	STR_10247	2.76781396618695e-06	0.00690569584563645	TRUE
abamectin_norm.n	STR_10267	0.00203060102803905	1	FALSE
abamectin_norm.n	STR_10275	6.38492318017774e-05	0.159303833345435	FALSE
abamectin_norm.n	STR_1029	6.32845409347107e-06	0.0157894929632103	TRUE
abamectin_norm.n	STR_10293	9.16217085510938e-06	0.0228596162834979	TRUE
abamectin_norm.n	STR_10294	0.361730032647616	1	FALSE
abamectin_norm.n	STR_10303	1.60853748204628e-05	0.0401330101770547	TRUE
abamectin_norm.n	STR_1032	0.55185608383589	1	FALSE
abamectin_norm.n	STR_10333	7.85864497049705e-05	0.196073192013901	FALSE
abamectin_norm.n	STR_10334	1.46741044278173e-05	0.0366118905474041	TRUE
abamectin_norm.n	STR_10336	0.000833758009853301	1	FALSE
abamectin_norm.n	STR_10342	1.16733898873355e-05	0.0291251077689021	TRUE
abamectin_norm.n	STR_1035	0.234555304502558	1	FALSE
abamectin_norm.n	STR_10352	0.0114315013660905	1	FALSE
abamectin_norm.n	STR_10357	0.00282931703048684	1	FALSE
abamectin_norm.n	STR_10358	0.000160749238552652	0.401069350188867	FALSE
abamectin_norm.n	STR_1036	0.00228497315205903	1	FALSE
abamectin_norm.n	STR_10370	1.30005325513448e-05	0.0324363287156052	TRUE
abamectin_norm.n	STR_10377	0.21329365445074	1	FALSE
abamectin_norm.n	STR_10380	0.365581873833836	1	FALSE
abamectin_norm.n	STR_10387	0.000209155555965943	0.521843112135029	FALSE
abamectin_norm.n	STR_10388	0.00491411150143883	1	FALSE
abamectin_norm.n	STR_10397	0.306639476464071	1	FALSE
abamectin_norm.n	STR_10409	0.184628260375803	1	FALSE
abamectin_norm.n	STR_10412	0.391084562972142	1	FALSE
abamectin_norm.n	STR_10418	0.00136319740484352	1	FALSE
abamectin_norm.n	STR_10438	8.76079403779282e-06	0.0218581811242931	TRUE
abamectin_norm.n	STR_10470	0.183728494082269	1	FALSE
abamectin_norm.n	STR_10490	0.0509534746495838	1	FALSE
abamectin_norm.n	STR_10503	0.0139726072811907	1	FALSE
abamectin_norm.n	STR_10518	0.034957977196173	1	FALSE
abamectin_norm.n	STR_10531	0.0124394741469971	1	FALSE
abamectin_norm.n	STR_10543	0.0999619300193938	1	FALSE
abamectin_norm.n	STR_10604	0.0012244403624912	1	FALSE
abamectin_norm.n	STR_10606	0.0199223888763792	1	FALSE
abamectin_norm.n	STR_10628	0.00531608637071021	1	FALSE
abamectin_norm.n	STR_10650	0.000166636633377367	0.41575840027653	FALSE
abamectin_norm.n	STR_10660	0.000851275019177765	1	FALSE
abamectin_norm.n	STR_10664	0.00113408204241869	1	FALSE
abamectin_norm.n	STR_10678	0.820677003632413	1	FALSE
abamectin_norm.n	STR_10679	0.000117813412601149	0.293944464439867	FALSE
abamectin_norm.n	STR_1068	0.256957550330373	1	FALSE
abamectin_norm.n	STR_10700	0.011877141760497	1	FALSE
abamectin_norm.n	STR_10713	0.0112072634657499	1	FALSE
abamectin_norm.n	STR_10722	8.44902514987507e-06	0.0210803177489383	TRUE
